0-th traing, T = 100, ErrorRate = 33% (33/100)
360-th traing, T = 2.68330509399, ErrorRate = 50% (50/100)
361-th traing, T = 2.65647204305, ErrorRate = 50% (50/100)
362-th traing, T = 2.62990732262, ErrorRate = 50% (50/100)
363-th traing, T = 2.60360824939, ErrorRate = 50% (50/100)
364-th traing, T = 2.5775721669, ErrorRate = 50% (50/100)
365-th traing, T = 2.55179644523, ErrorRate = 50% (50/100)
366-th traing, T = 2.52627848078, ErrorRate = 50% (50/100)
367-th traing, T = 2.50101569597, ErrorRate = 50% (50/100)
368-th traing, T = 2.47600553901, ErrorRate = 50% (50/100)
369-th traing, T = 2.45124548362, ErrorRate = 50% (50/100)
370-th traing, T = 2.42673302878, ErrorRate = 50% (50/100)
371-th traing, T = 2.4024656985, ErrorRate = 50% (50/100)
372-th traing, T = 2.37844104151, ErrorRate = 50% (50/100)
373-th traing, T = 2.3546566311, ErrorRate = 50% (50/100)
374-th traing, T = 2.33111006478, ErrorRate = 50% (50/100)
375-th traing, T = 2.30779896414, ErrorRate = 50% (50/100)
376-th traing, T = 2.2847209745, ErrorRate = 50% (50/100)
377-th traing, T = 2.26187376475, ErrorRate = 50% (50/100)
378-th traing, T = 2.2392550271, ErrorRate = 50% (50/100)
379-th traing, T = 2.21686247683, ErrorRate = 50% (50/100)
380-th traing, T = 2.19469385206, ErrorRate = 50% (50/100)
381-th traing, T = 2.17274691354, ErrorRate = 50% (50/100)
382-th traing, T = 2.15101944441, ErrorRate = 50% (50/100)
383-th traing, T = 2.12950924996, ErrorRate = 50% (50/100)
384-th traing, T = 2.10821415746, ErrorRate = 50% (50/100)
385-th traing, T = 2.08713201589, ErrorRate = 50% (50/100)
386-th traing, T = 2.06626069573, ErrorRate = 50% (50/100)
387-th traing, T = 2.04559808877, ErrorRate = 50% (50/100)
388-th traing, T = 2.02514210788, ErrorRate = 50% (50/100)
389-th traing, T = 2.00489068681, ErrorRate = 50% (50/100)
390-th traing, T = 1.98484177994, ErrorRate = 50% (50/100)
391-th traing, T = 1.96499336214, ErrorRate = 50% (50/100)
392-th traing, T = 1.94534342852, ErrorRate = 50% (50/100)
393-th traing, T = 1.92588999423, ErrorRate = 50% (50/100)
394-th traing, T = 1.90663109429, ErrorRate = 50% (50/100)
395-th traing, T = 1.88756478335, ErrorRate = 50% (50/100)
396-th traing, T = 1.86868913551, ErrorRate = 50% (50/100)
397-th traing, T = 1.85000224416, ErrorRate = 50% (50/100)
398-th traing, T = 1.83150222172, ErrorRate = 50% (50/100)
399-th traing, T = 1.8131871995, ErrorRate = 50% (50/100)
400-th traing, T = 1.7950553275, ErrorRate = 50% (50/100)
401-th traing, T = 1.77710477423, ErrorRate = 50% (50/100)
402-th traing, T = 1.75933372649, ErrorRate = 50% (50/100)
403-th traing, T = 1.74174038922, ErrorRate = 50% (50/100)
404-th traing, T = 1.72432298533, ErrorRate = 50% (50/100)
405-th traing, T = 1.70707975548, ErrorRate = 50% (50/100)
406-th traing, T = 1.69000895792, ErrorRate = 50% (50/100)
407-th traing, T = 1.67310886834, ErrorRate = 50% (50/100)
408-th traing, T = 1.65637777966, ErrorRate = 50% (50/100)
409-th traing, T = 1.63981400186, ErrorRate = 50% (50/100)
410-th traing, T = 1.62341586184, ErrorRate = 50% (50/100)
411-th traing, T = 1.60718170323, ErrorRate = 50% (50/100)
412-th traing, T = 1.59110988619, ErrorRate = 50% (50/100)
413-th traing, T = 1.57519878733, ErrorRate = 50% (50/100)
414-th traing, T = 1.55944679946, ErrorRate = 50% (50/100)
415-th traing, T = 1.54385233146, ErrorRate = 50% (50/100)
416-th traing, T = 1.52841380815, ErrorRate = 50% (50/100)
417-th traing, T = 1.51312967007, ErrorRate = 50% (50/100)
418-th traing, T = 1.49799837337, ErrorRate = 50% (50/100)
419-th traing, T = 1.48301838963, ErrorRate = 50% (50/100)
420-th traing, T = 1.46818820574, ErrorRate = 50% (50/100)
421-th traing, T = 1.45350632368, ErrorRate = 50% (50/100)
422-th traing, T = 1.43897126044, ErrorRate = 50% (50/100)
423-th traing, T = 1.42458154784, ErrorRate = 50% (50/100)
424-th traing, T = 1.41033573236, ErrorRate = 50% (50/100)
425-th traing, T = 1.39623237504, ErrorRate = 50% (50/100)
426-th traing, T = 1.38227005129, ErrorRate = 50% (50/100)
427-th traing, T = 1.36844735077, ErrorRate = 50% (50/100)
428-th traing, T = 1.35476287727, ErrorRate = 50% (50/100)
429-th traing, T = 1.34121524849, ErrorRate = 50% (50/100)
430-th traing, T = 1.32780309601, ErrorRate = 50% (50/100)
431-th traing, T = 1.31452506505, ErrorRate = 50% (50/100)
432-th traing, T = 1.3013798144, ErrorRate = 50% (50/100)
433-th traing, T = 1.28836601625, ErrorRate = 50% (50/100)
434-th traing, T = 1.27548235609, ErrorRate = 50% (50/100)
435-th traing, T = 1.26272753253, ErrorRate = 50% (50/100)
